Ciclo,Tmax_degC,Tmin_degC,Tmedia_degC,Tfin_degC,Delta_Tmax_degC,Delta_Tmin_degC
1,40.7428368939422,40,40.4020530236317,40.7424899080071,NaN,NaN
2,41.402206072238,40.7424697941095,41.1011131746598,41.3996121796114,0.659369178295854,0.742469794109482
3,41.9863363518541,41.3987657257466,41.7198014919802,41.9811842531153,0.584130279616112,0.656295931637075
4,42.5036029211451,41.9790493193007,42.267358474567,42.4958922985135,0.517266569290975,0.580283593554142
5,42.961577422957,42.4923358220914,42.7519621983123,42.9514237658324,0.457974501811862,0.513286502790699
6,43.3670196620718,42.9464394202833,43.1808504376343,43.3545822226945,0.40544223911477,0.454103598191928
7,43.7259327583257,43.3482237799134,43.5604288656401,43.7113890537119,0.358913096253929,0.401784359630085
8,44.0436412665937,43.7037354875967,43.8963667406484,44.0271733705403,0.317708508267984,0.355511707683256
9,44.3248680984979,44.0183174579998,44.1936814589529,44.306651700911,0.281226831904263,0.314581970403111
10,44.5737931347435,44.296687290699,44.4568135083134,44.5539979510633,0.248925036245559,0.278369832699227
11,44.7941215158508,44.543022073157,44.6896929563328,44.7729065482937,0.220328381107272,0.246334782457986
12,44.9936464600694,44.7563869212131,44.8957979483838,44.9666469203145,0.199524944218624,0.213364848056152
13,45.1809842454774,44.934125913595,45.0782068125717,45.1381127399953,0.187337785407976,0.17773899238189
14,45.3468091923514,45.0914300641384,45.2396439255723,45.2898649766053,0.165824946874054,0.157304150543318
15,45.4935704043497,45.2306332312858,45.3825204016283,45.4241700092283,0.146761211998253,0.139203167147471
16,45.6234663957025,45.3538256378751,45.508970206808,45.5430338309239,0.129895991352861,0.123192406589247
17,45.7384396369215,45.4628543873404,45.6208818715487,45.6482317503419,0.114973241218976,0.109028749465367
18,45.8401943133389,45.5593480214684,45.7199269546574,45.741334897297,0.101754676417414,0.0964936341279312
19,45.9302500918952,45.6447351028717,45.8075846705219,45.8237339036072,0.0900557785562413,0.0853870814033684
20,46.009957570969,45.7203038593949,45.8851642782626,45.8966593713047,0.0797074790738037,0.0755687565231469
21,46.080507632284,45.7871844280524,45.9538244827858,45.9612005243515,0.0705500613149965,0.0668805686575382
22,46.1429464896307,45.8463756616844,46.0145907494238,46.0183213205015,0.062438857346713,0.0591912336319567
23,46.1982066354244,45.898761572123,46.0683706250244,46.0688748325896,0.0552601457937172,0.0523859104385807
24,46.2471134870336,45.9451246411898,46.1159673758227,46.1136161777938,0.0489068516092246,0.0463630690668211
25,46.2903974587876,45.9861572922721,46.1580918814303,46.1532135593708,0.0432839717540077,0.0410326510822827
26,46.3287050256355,46.0224723762742,46.1953732932879,46.1882583712657,0.0383075668479123,0.0363150840021618
27,46.3626083247812,46.0546084009016,46.2283684001772,46.2192740504766,0.0339032991456563,0.0321360246273485
28,46.3926137054329,46.0830484898488,46.2575700136651,46.246723816528,0.0300053806516658,0.0284400889472138
29,46.4191729994211,46.1082187874097,46.2834142911161,46.2710176157358,0.0265592939882495,0.0251702975608907
30,46.4426793271925,46.1304951970473,46.306287202713,46.2925183671315,0.023506327771436,0.0222764096376693
31,46.4634830519418,46.1502104906384,46.3265304009242,46.3115471471649,0.020803724749257,0.019715293591041
32,46.4818950391611,46.1676590982148,46.3444462277149,46.3283881702993,0.0184119872193236,0.0174486075763838
33,46.4981901112132,46.1831016011852,46.3603022330744,46.3432929041728,0.0162950720521238,0.0154425029704655
34,46.5126118443872,46.1967686899302,46.3743352807129,46.3564841233026,0.0144217331739327,0.013667088744981
35,46.5253753488622,46.2088644391739,46.3867549264314,46.3681587156716,0.0127635044750605,0.0120957492436489
36,46.5366714570675,46.2195695278365,46.3977466596378,46.3784909706757,0.0112961082052223,0.0107050886626681
37,46.5466688313607,46.2290438408166,46.4074746542952,46.3876354091814,0.00999737429321357,0.00947431298008183
38,46.5555168439602,46.2374288771127,46.4160842175335,46.3957284275366,0.00884801259953605,0.00838503629604048
39,46.5633475333272,46.2448498398605,46.4237039019837,46.402891024475,0.00783068936702591,0.00742096274782966
40,46.5702779031554,46.2514176337617,46.4304475526807,46.4092301159761,0.00693036982817574,0.0065677939012474
41,46.5764115431883,46.2572303281463,46.4363877718897,46.4148404054884,0.00613364003289973,0.00581269438453091
