Evento,t_k_s,vqs_i_V,vqs_f_V,w_i_rad_s,w_f_rad_s,t_crecimiento_ms,t_establecimiento_ms,sobrepaso_rad_s,sobrepaso_pct
1,0.1,0,19.596,0,401.572086749708,9.91152661706512,37.9871919441156,53.7047092308491,13.3736160960615
4,0.7,19.596,0,416.107197869502,10.9096229365959,10.0606261705002,50.5563807967697,48.9441407192116,12.0790803664893
6,1.1,0,-19.596,-5.91622504390943,-411.856422154386,10.1664286483749,49.6484459469824,48.0106021347538,11.8270135543359
9,1.7,-19.596,0,-388.381078910216,17.143715297004,10.1913949540824,49.6409008275749,47.3616125980942,11.6790917040433
