Variable,Valor,Unidad
Error máximo de posición estimada (motor),0.000232671767808685,rad
Error RMS de posición estimada (motor),0.000154117079371536,rad RMS
Error máximo de velocidad estimada (motor),1.49531960729592,rad/s
Error RMS de velocidad estimada (motor),0.986359776174048,rad/s RMS
Error máximo de posición estimada (carga),1.93893139840571e-06,rad
Error RMS de posición estimada (carga),1.28430899476279e-06,rad RMS
Error máximo de velocidad estimada (carga),0.012460996727466,rad/s
Error RMS de velocidad estimada (carga),0.0082196648014504,rad/s RMS
