Componente,Variable,Criterio,Valor,Limite,Margen,Uso_pct,DuracionExceso_s,Unidad,Cumple
Caja reductora,Velocidad máxima de carga,Máximo absoluto en el ciclo,0.00955668571717832,6.28,6.27044331428282,0.15217652415889,0,rad/s,Sí
Caja reductora,Torque de salida RMS del ciclo de operación,RMS temporal en el ciclo de operación,3.76387430008334,17,13.2361256999167,22.1404370593138,0,N*m RMS,Sí
Caja reductora,Torque de salida pico absoluto,Máximo absoluto en el ciclo,5.81328293879426,45,39.1867170612057,12.9184065306539,0,N*m pico,Sí
Motor PMSM,Velocidad máxima del rotor,Máximo absoluto en el ciclo,1.1468022860614,691.15,690.003197713939,0.165926685388324,0,rad/s,Sí
Motor PMSM,Corriente de fase RMS del ciclo de operación,Mayor RMS temporal entre las tres fases,0.43565118074005,0.4,-0.0356511807400499,108.912795185012,8.49528850938942,A RMS,NO
Motor PMSM,Corriente RMS equivalente máxima durante aceleraciones,Todo el ciclo (sin intervalos de aceleración),0.63799916346248,2,1.36200083653752,31.899958173124,0,A RMS equivalente,Sí
Motor PMSM,Tensión línea-línea RMS equivalente máxima,Máximo de sqrt((Vab^2+Vbc^2+Vca^2)/3),7.31342058697883,30,22.6865794130212,24.3780686232628,0,V línea-línea RMS,Sí
Motor PMSM,Temperatura máxima del estator,Máximo en el ciclo,45.5988461333801,115,69.4011538666199,39.6511705507653,0,degC,Sí
Inversor,Módulo de tensión de línea RMS equivalente máximo,Máximo de la envolvente RMS de línea,7.31342058697883,48,40.6865794130212,15.2362928895392,0,V línea-línea RMS,Sí
Inversor,Tensión de fase instantánea máxima solicitada,Máximo absoluto entre fases,5.97136390337337,39.1918358845309,33.2204719811575,15.2362444080612,0,V fase pico,Sí
Inversor / PMSM,Frecuencia sincrónica máxima estimada,No evaluada: falta planta.Pp,NaN,330,NaN,NaN,0,Hz,No evaluado
