Caso,ml_kg,bl_Nms,DesvioMaxPosicion,ErrorSeguimientoFinal,ErrorObsPosMax,ErrorObsVelMax
Nominal,0,0.1,0.0928177397004796,0.0900885905553114,1.93911521813655e-06,0.0124621973744151
Sin carga - fricción mínima,0,0.07,0.0928238213770536,0.0900944937793865,1.93929906814751e-06,0.01246339821088
Sin carga - fricción máxima,0,0.13,0.0928116588207875,0.0900826881051366,1.93893139840571e-06,0.012460996727466
Carga máxima - fricción mínima,1.5,0.07,0.0867627876567313,0.0843747848807334,1.87701320781474e-06,0.0120202638459614
Carga máxima - fricción máxima,1.5,0.13,0.086752176837047,0.0843640888275584,1.87679623246679e-06,0.0120189508077093
