Caso,ml_kg,bl_Nms,DesvioMaxPosicion,ErrorSeguimientoFinal,ErrorObsPosMax,ErrorObsVelMax
Nominal,0,0.1,1.17939602799237e-05,1.46011126491826e-21,1.9042797050718e-06,0.00262720532114894
Sin carga - fricción mínima,0,0.07,1.17944746982438e-05,1.12946400196424e-20,1.90437230792334e-06,0.00262728104663571
Sin carga - fricción máxima,0,0.13,1.17934458812767e-05,7.96852552611291e-21,1.9041871091367e-06,0.00262712959990428
Carga máxima - fricción mínima,1.5,0.07,1.30318456273247e-05,-5.88692664652359e-21,1.48956468476336e-06,0.00124917309279115
Carga máxima - fricción máxima,1.5,0.13,1.30310607631871e-05,-7.36477169508337e-21,1.48945912843534e-06,0.00124912788446406
