Componente,Variable,Criterio,Valor,Limite,Margen,Uso_pct,DuracionExceso_s,Unidad,Cumple
Caja reductora,Velocidad máxima de carga,Máximo absoluto en el ciclo,0.00970335403516307,6.28,6.27029664596484,0.154512006929348,0,rad/s,Sí
Caja reductora,Torque de salida RMS del ciclo de operación,RMS temporal en el ciclo de operación,3.76387963101781,17,13.2361203689822,22.1404684177518,0,N*m RMS,Sí
Caja reductora,Torque de salida pico absoluto,Máximo absoluto en el ciclo,5.95829703487381,45,39.0417029651262,13.2406600774974,0,N*m pico,Sí
Motor PMSM,Velocidad máxima del rotor,Máximo absoluto en el ciclo,1.16440248421957,691.15,689.98559751578,0.168473194562623,0,rad/s,Sí
Motor PMSM,Corriente de fase RMS del ciclo de operación,Mayor RMS temporal entre las tres fases,0.435654574781948,0.4,-0.0356545747819484,108.913643695487,8.49512185435737,A RMS,NO
Motor PMSM,Corriente RMS equivalente máxima durante aceleraciones,Todo el ciclo (sin intervalos de aceleración),0.678613839522402,2,1.3213861604776,33.9306919761201,0,A RMS equivalente,Sí
Motor PMSM,Tensión línea-línea RMS equivalente máxima,Máximo de sqrt((Vab^2+Vbc^2+Vca^2)/3),7.65017423553969,30,22.3498257644603,25.5005807851323,0,V línea-línea RMS,Sí
Motor PMSM,Temperatura máxima del estator,Máximo en el ciclo,45.5989294385622,115,69.4010705614378,39.6512429900541,0,degC,Sí
Inversor,Módulo de tensión de línea RMS equivalente máximo,Máximo de la envolvente RMS de línea,7.65017423553969,48,40.3498257644603,15.9378629907077,0,V línea-línea RMS,Sí
Inversor,Tensión de fase instantánea máxima solicitada,Máximo absoluto entre fases,6.24631645039866,39.1918358845309,32.9455194341322,15.9378000785722,0,V fase pico,Sí
Inversor / PMSM,Frecuencia sincrónica máxima estimada,No evaluada: falta planta.Pp,NaN,330,NaN,NaN,0,Hz,No evaluado
